id   arriveTime   executionTime   executionTimeLeft   waitTime
20   5            9               9                   0
31   7            18              18                  0
33   8            25              25                  0
52   11           13              13                  0
17   12           26              26                  0
9    14           3               3                   0
8    17           32              32                  0
30   18           6               6                   0
46   18           29              29                  0
5    22           10              10                  0
42   23           18              18                  0
18   24           21              21                  0
7    28           30              30                  0
19   29           23              23                  0
53   33           19              19                  0
62   33           27              27                  0
11   34           12              12                  0
25   34           10              10                  0
41   35           1               1                   0
34   36           15              15                  0
45   38           4               4                   0
57   47           2               2                   0
48   49           2               2                   0
23   50           6               6                   0
14   51           5               5                   0
47   52           7               7                   0
55   52           4               4                   0
10   54           10              10                  0
60   56           17              17                  0
43   60           1               1                   0
54   62           6               6                   0
21   63           11              11                  0
15   65           9               9                   0
28   68           31              31                  0
26   69           7               7                   0
51   74           30              30                  0
56   75           16              16                  0
36   76           16              16                  0
16   78           31              31                  0
3    81           11              11                  0
32   84           24              24                  0
35   85           3               3                   0
63   85           17              17                  0
40   92           21              21                  0
29   92           2               2                   0
50   93           4               4                   0
39   95           27              27                  0
49   95           20              20                  0
58   95           7               7                   0
59   102          30              30                  0
1    103          1               1                   0
61   104          2               2                   0
22   106          29              29                  0
2    106          24              24                  0
0    112          11              11                  0
44   113          1               1                   0
38   114          20              20                  0
27   117          19              19                  0
12   117          20              20                  0
13   118          28              28                  0
6    121          6               6                   0
24   123          15              15                  0
4    124          1               1                   0
37   125          19              19                  0
