id   arriveTime   executionTime   executionTimeLeft   waitTime
35   0            1               1                   0
11   1            1               1                   0
54   1            1               1                   0
10   1            1               1                   0
52   4            1               1                   0
23   7            1               1                   0
4    7            1               1                   0
30   8            1               1                   0
50   8            1               1                   0
27   10           1               1                   0
12   11           1               1                   0
5    12           1               1                   0
13   12           1               1                   0
1    16           1               1                   0
3    19           1               1                   0
46   21           1               1                   0
57   24           1               1                   0
22   26           1               1                   0
18   29           1               1                   0
59   38           1               1                   0
24   40           1               1                   0
47   41           1               1                   0
25   41           1               1                   0
31   42           1               1                   0
14   44           1               1                   0
6    47           1               1                   0
15   49           1               1                   0
51   50           1               1                   0
37   50           1               1                   0
16   52           1               1                   0
34   52           1               1                   0
62   53           1               1                   0
33   54           1               1                   0
53   54           1               1                   0
36   54           1               1                   0
0    55           1               1                   0
61   56           1               1                   0
8    61           1               1                   0
38   61           1               1                   0
17   62           1               1                   0
20   63           1               1                   0
28   66           1               1                   0
49   67           1               1                   0
40   70           1               1                   0
56   71           1               1                   0
42   73           1               1                   0
63   75           1               1                   0
29   77           1               1                   0
39   78           1               1                   0
60   79           1               1                   0
48   81           1               1                   0
58   82           1               1                   0
55   85           1               1                   0
21   92           1               1                   0
9    96           1               1                   0
44   96           1               1                   0
41   101          1               1                   0
2    105          1               1                   0
43   108          1               1                   0
19   109          1               1                   0
7    112          1               1                   0
26   123          1               1                   0
32   127          1               1                   0
45   128          1               1                   0
