id    arriveTime   executionTime   executionTimeLeft   waitTime
0     0            1               0                   0
1     0            1               0                   255
2     0            1               0                   254
3     0            1               0                   253
4     0            1               0                   252
5     0            1               0                   251
6     0            1               0                   250
7     0            1               0                   249
8     0            1               0                   248
9     0            1               0                   247
10    0            1               0                   246
11    0            1               0                   245
12    0            1               0                   244
13    0            1               0                   243
14    0            1               0                   242
15    0            1               0                   241
16    0            1               0                   240
17    0            1               0                   239
18    0            1               0                   238
19    0            1               0                   237
20    0            1               0                   236
21    0            1               0                   235
22    0            1               0                   234
23    0            1               0                   233
24    0            1               0                   232
25    0            1               0                   231
26    0            1               0                   230
27    0            1               0                   229
28    0            1               0                   228
29    0            1               0                   227
30    0            1               0                   226
31    0            1               0                   225
32    0            1               0                   224
33    0            1               0                   223
34    0            1               0                   222
35    0            1               0                   221
36    0            1               0                   220
37    0            1               0                   219
38    0            1               0                   218
39    0            1               0                   217
40    0            1               0                   216
41    0            1               0                   215
42    0            1               0                   214
43    0            1               0                   213
44    0            1               0                   212
45    0            1               0                   211
46    0            1               0                   210
47    0            1               0                   209
48    0            1               0                   208
49    0            1               0                   207
50    0            1               0                   206
51    0            1               0                   205
52    0            1               0                   204
53    0            1               0                   203
54    0            1               0                   202
55    0            1               0                   201
56    0            1               0                   200
57    0            1               0                   199
58    0            1               0                   198
59    0            1               0                   197
60    0            1               0                   196
61    0            1               0                   195
62    0            1               0                   194
63    0            1               0                   193
64    0            1               0                   192
65    0            1               0                   191
66    0            1               0                   190
67    0            1               0                   189
68    0            1               0                   188
69    0            1               0                   187
70    0            1               0                   186
71    0            1               0                   185
72    0            1               0                   184
73    0            1               0                   183
74    0            1               0                   182
75    0            1               0                   181
76    0            1               0                   180
77    0            1               0                   179
78    0            1               0                   178
79    0            1               0                   177
80    0            1               0                   176
81    0            1               0                   175
82    0            1               0                   174
83    0            1               0                   173
84    0            1               0                   172
85    0            1               0                   171
86    0            1               0                   170
87    0            1               0                   169
88    0            1               0                   168
89    0            1               0                   167
90    0            1               0                   166
91    0            1               0                   165
92    0            1               0                   164
93    0            1               0                   163
94    0            1               0                   162
95    0            1               0                   161
96    0            1               0                   160
97    0            1               0                   159
98    0            1               0                   158
99    0            1               0                   157
100   0            1               0                   156
101   0            1               0                   155
102   0            1               0                   154
103   0            1               0                   153
104   0            1               0                   152
105   0            1               0                   151
106   0            1               0                   150
107   0            1               0                   149
108   0            1               0                   148
109   0            1               0                   147
110   0            1               0                   146
111   0            1               0                   145
