id,timesUsed,pageFaultAt,swappedOutAt
57,2,[124 220],[125 221]
39,4,[5 144 179 250],[54 145 181 252]
53,1,[39],[41]
2,1,[11],[49]
3,1,[126],[127]
6,2,[24 109],[27 110]
47,4,[121 138 199 209],[122 139 202 211]
56,1,[128],[130]
61,1,[181],[182]
59,1,[27],[29]
32,5,[8 56 105],[39 78 196]
10,3,[111 143 178],[113 144 179]
51,2,[58 84],[62 85]
18,6,[85 93 134 175 182 223],[86 98 136 178 195 225]
42,4,[62 74 159 211],[64 75 160 212]
37,6,[6 154 164 246 252],[100 155 166 249 254]
9,1,[34],[35]
17,3,[101 149 198],[103 150 199]
52,3,[12 136],[107 137]
48,3,[15 90 236],[47 92 243]
49,5,[42 52 114 145 219],[44 82 116 147 220]
44,3,[64 92 166],[66 93 167]
33,6,[116 147 174 196 233 244],[118 149 175 198 236 245]
16,5,[23 70 131 150 206],[24 72 134 151 209]
50,1,[33],[34]
31,6,[72 127 167 216 243],[74 128 170 217 244]
11,3,[16 76 80],[23 77 143]
15,2,[173 230],[174 233]
25,6,[54 78 113 151],[56 80 114 230]
58,1,[75],[76]
54,1,[245],[246]
20,3,[29 103 125],[30 104 126]
24,3,[86 100 203],[87 101 206]
45,2,[47 82],[48 83]
19,4,[66 83 104 221],[68 84 124 223]
46,7,[3 249],[227 250]
21,2,[137 218],[138 219]
36,13,[1],[]
30,12,[4],[]
7,1,[254],[]
41,8,[32 44 217 226],[33 203 218]
26,13,[50 107 122 130],[52 108 123]
28,7,[14 68 77 155 186 192],[57 70 131 159 187]
34,11,[0],[]
43,7,[41 57 119 139 160],[42 58 121 154]
27,9,[18 35 110 118 170],[21 105 111 161]
38,7,[17 21 212 225 227],[18 171 216 226]
23,10,[2],[]
13,7,[49 108 161 171 191 195],[50 109 164 173 192]
29,13,[7],[]
40,7,[30 48 123 187 202],[32 119 186 191]
22,8,[87 98],[90]
35,9,[9],[]
