id,timesUsed,pageFaultAt,swappedOutAt
77,10,[140 150 410 592 723 755 785 935 993 1007],[141 151 411 593 724 756 788 936 994 1008]
11,1,[542],[545]
96,6,[122 131 164 189 292 855],[123 133 165 216 293 856]
102,3,[109 664 841],[110 666 842]
34,5,[97 223 752 759 902],[98 225 754 760 905]
27,8,[181 201 243 375 480 568 584 789],[182 202 244 376 481 570 585 791]
55,17,[22 155 174 289 302 371 485 517 591 604 624 637 687 797 907 989 1001],[23 156 177 290 303 372 486 519 592 607 626 638 688 798 908 990 1002]
44,10,[52 86 209 363 377 476 559 635 816 917],[53 87 210 364 379 479 561 636 817 918]
88,13,[63 180 317 374 481 486 614 728 737 739 784 845 973],[64 181 318 375 483 487 615 729 738 741 785 847 974]
92,7,[54 685 763 839 882 914 966],[55 686 764 841 883 915 967]
31,9,[144 235 359 366 392 532 535 942],[145 238 361 367 394 533 537 947]
72,17,[0 411 475 607 647 683 832 843 850 892 1019],[325 414 476 609 649 684 833 844 851 893 1020]
120,1,[72],[73]
68,16,[80 116 285 293 446 464 469 509 652 698 760 886 950 995 1013 1015],[82 117 286 295 447 465 470 512 653 700 761 887 951 997 1014 1016]
13,1,[182],[183]
115,1,[576],[577]
91,4,[168 186 266 404],[169 188 267 405]
76,10,[36 84 99 379 507 716 754 859 972],[37 85 249 381 509 717 755 860 973]
2,2,[488 994],[489 995]
85,12,[51 119 188 319 341 613 666 693 712 714 877 999],[52 122 189 320 342 614 667 694 713 715 879 1001]
99,3,[183 437 680],[184 438 681]
45,18,[19 23 250 301 336 348 537 678 713 743 780 848 863 927 979],[20 168 251 302 337 464 541 679 714 744 781 849 881 928 981]
49,13,[24 115 220 494 513 681 741 761 812 836 847 873 1012],[25 116 221 495 515 682 742 762 814 837 848 874 1013]
73,16,[8 253 277 324 556 706 791 817 842 893 978 998],[245 254 322 439 558 707 792 818 843 894 979 999]
84,18,[17 156 214 228 337 425 456 527 601 656 659 686 702 1020],[18 158 215 229 338 427 458 529 602 657 661 687 965 1021]
118,1,[819],[820]
19,4,[211 668 709 870],[212 671 710 871]
128,1,[5],[69]
38,9,[95 342 490 552 769 811 868 982 1008],[96 343 492 553 770 812 869 984 1010]
126,1,[185],[186]
51,14,[28 57 172 219 312 408 470 565 585 645 825 829 838 1016],[31 104 173 220 313 409 471 567 587 647 828 830 839 1017]
83,17,[11 147 210 246 390 403 473 588 634 697 722 748 810 820 869 881],[79 149 211 279 391 404 474 590 635 698 723 750 811 821 870 963]
9,1,[1006],[1007]
110,2,[91 516],[93 517]
74,16,[50 124 217 313 328 474 529 534 632 689 720 730 781 849 852],[51 125 218 314 330 475 530 535 633 690 721 732 782 850 882]
86,14,[35 258 269 423 496 580 631 690 732 815 921 926 981 997],[36 259 271 424 499 581 632 693 733 816 923 927 982 998]
29,4,[225 343 853 1005],[228 345 854 1006]
80,13,[9 198 273 282 296 340 385 430 465 499 609 617 671],[24 199 274 283 297 341 386 432 468 500 611 618 697]
105,1,[976],[977]
108,1,[25],[28]
41,13,[100 202 208 229 283 306 309 756 777 805 837 947 975],[103 203 209 230 285 307 384 758 778 806 838 949 976]
36,3,[274 642 1018],[276 643 1019]
87,15,[71 82 153 194 238 333 472 504 658 667 694 912 988 1011],[72 83 155 195 299 334 473 505 659 668 695 914 989 1012]
35,5,[41 158 230 326 500],[42 159 231 327 503]
95,11,[45 60 323 458 461 506 548 772 783 807 887],[46 118 324 459 462 507 549 774 784 809 888]
104,2,[419 924],[420 926]
23,5,[93 742 799 833 861],[94 743 800 835 862]
119,2,[368 984],[369 985]
43,16,[207 257 305 372 420 444 447 558 676 715 788 806 905 908 957],[208 258 306 374 422 445 448 559 678 716 789 807 906 910 962]
97,2,[141 717],[142 719]
114,1,[649],[651]
89,8,[59 137 291 327 479 549 818 871],[60 138 292 328 480 551 819 872]
101,4,[94 364 531 949],[95 365 532 950]
17,2,[44 471],[45 472]
8,1,[862],[863]
98,3,[356 778 896],[359 780 897]
0,2,[139 163],[140 164]
82,14,[34 68 370 384 409 522 590 734 792 802 923 1021],[35 248 371 385 410 523 591 736 793 803 924 1022]
28,5,[432 619 776 782 1010],[433 621 777 783 1011]
33,6,[123 165 433 459 771 821],[124 166 434 460 772 822]
30,5,[46 338 533 627 710],[47 339 534 628 712]
39,9,[31 90 288 307 442 626 643 803 844],[33 91 289 309 443 627 644 804 845]
21,3,[96 365 595],[97 366 596]
122,1,[151],[152]
15,2,[56 345],[57 347]
25,2,[20 436],[21 437]
112,1,[256],[257]
37,11,[138 161 320 530 561 653 750 801 822 866 1014],[139 162 321 531 562 656 751 802 825 867 1015]
16,2,[483 798],[484 799]
100,8,[133 177 394 563 570 623 828 894],[134 178 396 564 571 624 829 895]
93,9,[7 179 347 427 521 573 744 774 916],[59 180 348 428 522 574 745 776 917]
94,4,[263 766 851 867],[266 768 852 868]
52,11,[12 89 118 261 287 298 955],[78 90 119 262 288 573 957]
54,15,[6 66 166 216 231 571 679 721 985],[39 100 167 217 546 674 680 763 987]
90,9,[43 159 254 581 615 618 633 906 969],[44 160 255 582 617 619 634 907 971]
103,4,[259 526 583 598],[260 527 584 599]
121,1,[578],[580]
22,3,[55 445 582],[56 446 583]
58,12,[88 98 212 221 286 382 587 770 856 883 897 965],[89 99 213 223 287 383 588 771 858 884 899 966]
57,15,[13 78 396 644 651 684 719 733 858 930 1004],[61 336 397 645 652 685 720 734 859 931 1005]
20,6,[262 541 546 918 971 1002],[263 542 548 919 972 1003]
48,9,[73 240 386 443 523 555 751 987 1022],[76 241 388 444 525 556 752 988 1023]
26,2,[599 951],[600 955]
117,1,[439],[441]
32,5,[16 200 369 641 747],[17 201 370 642 748]
42,11,[42 53 197 290 297 330 362 448 553 562 705],[43 109 198 291 298 333 363 449 555 563 706]
70,9,[134 196 251 414 574 795 814 928],[137 197 253 415 576 797 815 929]
106,2,[111 911],[112 912]
53,18,[37 169 173 234 300 311 321 388 758 764 915 963],[38 171 174 235 301 312 354 722 759 911 916 1004]
12,2,[428 938],[430 940]
81,2,[503 876],[504 877]
111,1,[525],[526]
24,7,[142 203 218 267 381 484 990],[143 204 219 268 382 485 993]
47,14,[241 276 304 424 492 520 596 621 630 636 675 707 736 884],[243 277 305 425 494 521 598 623 631 637 676 709 737 886]
109,3,[76 405 564],[77 407 565]
4,1,[113],[114]
79,17,[61 83 184 245 249 271 335 383 891 910],[62 84 185 246 250 311 351 853 892 935]
71,18,[18 38 260 367 391 449 460 577 600 611 800 804 830 874 879 934],[19 190 261 368 392 456 461 578 601 613 801 805 832 876 933 1018]
64,22,[21 146 171 192 255 602 628 639 688 701 729 835 854 895 899 919 931],[22 147 172 194 256 604 630 641 689 702 730 836 855 896 900 921]
67,23,[62 190 401 407 415 434 441 468 489 495],[63 192 402 408 416 436 442 469 490]
61,25,[14 85 128 143],[54 86 131]
56,23,[47 58],[50]
75,19,[1 79 103 160 248 314 318 400 422 545 724 809 900 929 977 1017],[68 80 144 239 278 315 356 401 520 705 766 810 902 930 978]
60,19,[112 125 162 195 215 354],[113 128 163 196 326]
50,19,[4 303 325 890 940 962],[300 304 866 891 942]
63,20,[65 152 213 232 239],[66 153 214 234]
65,22,[10 104 145 178 244 278 438],[65 107 146 232 273 423]
69,20,[69 87 107 279 299 339 351],[71 88 207 282 319 340]
66,21,[3 110 117 167 726 762],[58 111 161 725 727]
62,20,[39 64 416 462 512 519],[40 390 419 496 513]
40,19,[149 199 268 295 315 322 376 505 515 567 638 674 682 695 974 1003],[150 200 269 296 317 323 377 506 516 568 639 675 683 938 975]
78,21,[2 334 361 397 402 487 593 657 700 725 745 793 872 933 936],[240 335 362 400 403 488 595 658 701 726 747 795 873 934]
59,25,[40 77 204],[41 179]
46,11,[33 114 551 661 727 738 768 860 888 967 1023],[34 115 552 664 728 739 769 861 890 969]
