id,timesUsed,pageFaultAt,swappedOutAt
44,15,[22 84 178 213 225 341 396 534 541 564 676 723 834 926],[26 86 180 217 228 343 397 536 545 565 677 724 836 929]
63,2,[171 919],[172 920]
17,11,[18 204 229 324 384 425 596 602 738 795 995],[56 205 230 325 386 426 598 606 741 796 996]
45,14,[75 117 211 232 264 279 465 500 689 737 813 913 967 994],[76 119 213 235 265 283 468 502 691 738 815 915 968 995]
41,26,[58 93 153 241 253 299 331 343 359 430 443 480 565 599 669 714 763 780 787 798 860 865 954 959],[59 94 155 243 255 304 332 345 388 431 452 481 572 600 672 717 764 783 788 827 862 913 955 980]
10,1,[286],[287]
50,7,[66 201 607 808 836 948],[68 204 610 809 845 954]
55,2,[573 697],[579 700]
15,12,[96 124 150 252 346 415 627 677 705 770 857],[98 125 153 253 348 416 634 679 706 771 860]
59,2,[186 634],[187 635]
56,4,[8 653 886 997],[55 660 888 1000]
24,22,[16 464 514 588 695 710 833 862 885 947 980 986],[418 465 515 592 696 714 834 863 886 948 981 987]
43,18,[41 60 259 397 441 455 515 539 636 640 746 821 829 832 906 917 923],[42 61 263 398 442 458 516 541 637 642 749 826 831 833 907 918 926]
11,3,[62 333 595],[65 339 596]
4,1,[354],[359]
9,3,[263 393 665],[264 396 668]
52,11,[327 422 482 502 553 579 583 617 969],[329 424 485 504 557 582 587 620 972]
42,25,[7 167 181 228 255 741 756 800 879 964 985 1009],[123 169 182 229 722 742 798 804 881 967 986 1018]
13,12,[68 111 161 310 365 471 509 620 786 853 901 945],[69 112 163 311 371 473 510 622 787 854 902 947]
53,3,[21 135 522],[31 143 523]
12,7,[10 312 523 610 867 898 983],[52 313 524 612 869 901 984]
23,21,[61 112 123 170 218 251 339 379 418 476 488 527 572 600 637 696 717 771 845 981],[62 113 124 171 224 252 340 381 419 480 490 531 573 602 639 697 719 772 847 983]
22,24,[44 53 175 200 256 322 371 381 403 442 531 587 592 622 643 743 791 854 894 915 988 996],[45 93 178 201 258 323 372 382 407 443 533 588 593 623 664 746 795 857 898 916 989 997]
40,22,[36 59 89 119 283 317 352 407 485 506 521 644 764 806 827 847 866 916 920 940],[38 60 116 256 286 318 354 410 486 509 522 645 768 807 829 848 867 917 922 945]
18,24,[71 130 145 187 207 298 304 360 390 438 458 497 563 635 691 701 733 769 831 888 903 907 987],[74 134 147 189 211 299 307 364 391 439 459 499 564 636 695 703 736 770 832 890 906 911 988]
0,2,[156 499],[159 500]
19,22,[42 106 236 246 373 388 410 435 486 492 524 533 558 593 606 639 645 662 719 783 930],[44 107 241 249 374 389 412 438 488 497 527 534 560 594 607 640 648 701 757 784 933]
46,17,[39 143 159 197 340 382 392 452 557 612 706 722 807 872 881 929 990],[40 144 160 198 341 383 393 454 558 614 707 723 808 879 885 930 993]
5,2,[4 311],[48 312]
8,4,[87 648 731 890],[88 650 733 894]
60,2,[372 475],[373 476]
20,25,[9 129 149 155 163 235 297 320 348 383 389 426 614 650 684 724 785 809 820 850 918 933 989 993],[39 130 150 156 193 236 298 321 349 384 390 482 617 651 686 729 786 813 821 853 919 939 990 994]
57,4,[88 134 759 863],[89 135 762 865]
54,8,[193 243 307 490 538 736 773],[197 246 309 491 539 737 774]
14,14,[14 180 374 399 412 431 594 668 674 1000],[164 181 378 403 413 432 595 669 675 1009]
6,1,[258],[259]
7,2,[314 869],[315 870]
47,17,[0 287 315 350 439 491 516 545 582 922 962],[207 294 317 351 441 492 520 546 583 923 964]
64,1,[166],[167]
61,1,[729],[731]
51,6,[69 329 345 707 762 804],[70 331 346 710 763 806]
48,8,[31 48 107 277 664 703 742 870],[32 79 111 279 665 705 743 872]
16,13,[98 199 249 273 413 420 536 546 560 623 848 939],[101 200 251 276 415 422 538 547 563 624 850 940]
49,3,[598 784 984],[599 785 985]
37,30,[26 55 105 121 182 230 309 325 398 459 473 504 547 550 660 675 757 768 774 788 796],[27 87 106 145 184 232 310 327 399 464 475 506 548 553 662 676 759 769 780 791]
35,40,[28 38 116 126 144 205],[29 96 117 129 199]
36,28,[29 125 147 468 481 672 679 749 772 799 902 911],[120 126 455 471 644 674 684 756 773 800 903]
30,47,[1],[]
21,28,[56 76 94],[58 78]
25,45,[11],[]
28,44,[40 45],[41]
26,37,[32 101 113],[33 104]
31,48,[13 70 104 120],[36 71 105]
29,28,[27 33 332 351 432 815 826 972],[28 324 333 430 799 820 962]
39,32,[164 184 265 272 276 294 349 364 378 387],[165 186 270 273 277 297 350 365 379]
33,25,[20 173 198 419 424 510 520 548 624 642 651 686 700 955 968 1018],[149 175 360 420 425 514 521 550 627 643 653 689 866 959 969]
27,29,[65 74 78],[66 75]
32,42,[52 79 86 165 172 189],[53 84 121 166 173]
34,41,[160 169 217 224 270 313 318 321 323 386 391 416],[161 170 218 225 272 314 320 322 352 387 392]
38,36,[2 454],[435]
